epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6681.28,1.31184,2.09773,1.55191,0.3692,0.28357,0.2238,0.13974,1.59557,2.17038,1.71214,0.005842,0.005842,0.005842
44,6853.54,1.30953,2.09678,1.54898,0.37923,0.26824,0.22558,0.13823,1.57708,2.17762,1.68954,0.005743,0.005743,0.005743
45,7026.52,1.31027,2.08243,1.54538,0.39418,0.28637,0.24799,0.1504,1.56149,2.15818,1.67975,0.005644,0.005644,0.005644
46,7205.48,1.29991,2.07598,1.53836,0.20697,0.30568,0.24197,0.14779,1.59256,2.16741,1.69196,0.005545,0.005545,0.005545
47,7383.41,1.29837,2.06679,1.54285,0.37406,0.26179,0.2328,0.14922,1.56415,2.14479,1.69054,0.005446,0.005446,0.005446
48,7556.21,1.29871,2.0537,1.53631,0.211,0.27697,0.23332,0.15154,1.58703,2.11655,1.6775,0.005347,0.005347,0.005347
49,7734.3,1.28757,2.03313,1.52953,0.37954,0.31717,0.25587,0.1589,1.56525,2.11633,1.661,0.005248,0.005248,0.005248
50,7917.89,1.29618,2.04983,1.53414,0.20004,0.28699,0.21736,0.14696,1.55406,2.12196,1.65064,0.005149,0.005149,0.005149
51,8085.73,1.27834,2.02347,1.52131,0.22362,0.29484,0.23356,0.15566,1.55912,2.11857,1.65972,0.00505,0.00505,0.00505
52,8268.25,1.27991,2.01362,1.52566,0.20997,0.34636,0.24104,0.15255,1.56895,2.1218,1.67182,0.004951,0.004951,0.004951
53,8442.96,1.27807,2.01322,1.52068,0.21173,0.29605,0.23243,0.15362,1.58979,2.13577,1.68037,0.004852,0.004852,0.004852
54,8616.62,1.27319,2.0052,1.52149,0.24049,0.31657,0.25913,0.16608,1.57958,2.13215,1.67973,0.004753,0.004753,0.004753
55,8791.58,1.26687,1.98424,1.51098,0.24169,0.29973,0.25215,0.16582,1.56461,2.1,1.67495,0.004654,0.004654,0.004654
56,8970.12,1.25997,1.98429,1.50468,0.24095,0.29141,0.24868,0.16649,1.56402,2.09382,1.6698,0.004555,0.004555,0.004555
57,9146.09,1.26441,1.98791,1.50904,0.28005,0.26897,0.26454,0.16941,1.56151,2.10533,1.68379,0.004456,0.004456,0.004456
58,9316.51,1.25407,1.9572,1.50308,0.24503,0.3207,0.25222,0.1684,1.56385,2.07778,1.66718,0.004357,0.004357,0.004357
59,9493.09,1.2543,1.96358,1.50599,0.26834,0.31623,0.26409,0.16777,1.56831,2.0762,1.67141,0.004258,0.004258,0.004258
60,9666.72,1.25434,1.95972,1.50292,0.441,0.32659,0.27246,0.16976,1.56857,2.07127,1.67459,0.004159,0.004159,0.004159
61,9837.65,1.25068,1.94771,1.4947,0.43159,0.29855,0.27849,0.18826,1.56122,2.04547,1.65591,0.00406,0.00406,0.00406
62,10009.9,1.24813,1.93808,1.49665,0.43054,0.29473,0.27519,0.185,1.54401,2.03943,1.64252,0.003961,0.003961,0.003961
63,10183.2,1.24912,1.9402,1.49602,0.48064,0.27038,0.27009,0.17959,1.54678,2.03806,1.64548,0.003862,0.003862,0.003862
64,10358.7,1.24312,1.92528,1.48887,0.52372,0.2594,0.27422,0.17997,1.53871,2.04249,1.64606,0.003763,0.003763,0.003763
65,10531.8,1.22641,1.91396,1.48367,0.48299,0.29001,0.26997,0.17408,1.5296,1.99036,1.62945,0.003664,0.003664,0.003664
66,10699.5,1.22992,1.90408,1.48636,0.50672,0.28112,0.26854,0.17844,1.53234,2.00077,1.63683,0.003565,0.003565,0.003565
67,10874,1.22777,1.90928,1.48138,0.50307,0.29426,0.27951,0.18287,1.54662,2.01045,1.65411,0.003466,0.003466,0.003466
68,11060.9,1.22738,1.89495,1.47715,0.46768,0.32472,0.29028,0.19069,1.54004,2.00281,1.64613,0.003367,0.003367,0.003367
69,11240.8,1.21733,1.88088,1.46917,0.54038,0.29461,0.29407,0.19531,1.55261,2.00187,1.65082,0.003268,0.003268,0.003268
70,11418.5,1.22074,1.87269,1.47111,0.53298,0.29798,0.2898,0.19676,1.55837,1.99601,1.64499,0.003169,0.003169,0.003169
71,11592.9,1.2122,1.86809,1.46672,0.55759,0.28418,0.29198,0.19793,1.5472,1.98525,1.63341,0.00307,0.00307,0.00307
72,11772.3,1.21733,1.85448,1.46519,0.54819,0.29348,0.29426,0.19772,1.53858,1.97869,1.63365,0.002971,0.002971,0.002971
73,11944.6,1.20632,1.84567,1.46087,0.57336,0.28578,0.29503,0.1974,1.52117,1.98675,1.61993,0.002872,0.002872,0.002872
74,12116.7,1.21184,1.85209,1.46509,0.55958,0.29469,0.29038,0.19471,1.50716,1.9996,1.60754,0.002773,0.002773,0.002773
75,12297.4,1.2076,1.84557,1.46269,0.54899,0.29694,0.29444,0.19799,1.50825,1.97649,1.60649,0.002674,0.002674,0.002674
76,12473.6,1.19503,1.82215,1.454,0.5357,0.30985,0.29212,0.19439,1.5214,1.97707,1.61038,0.002575,0.002575,0.002575
77,12651.1,1.2057,1.83484,1.46246,0.50927,0.30639,0.29184,0.19259,1.51619,1.96261,1.60228,0.002476,0.002476,0.002476
78,12828.4,1.18947,1.80089,1.44674,0.53164,0.29957,0.29474,0.19434,1.5211,1.95956,1.60536,0.002377,0.002377,0.002377
79,13006.7,1.19479,1.81206,1.45108,0.5306,0.30337,0.292,0.19469,1.52209,1.95639,1.61046,0.002278,0.002278,0.002278
80,13184.2,1.18954,1.7944,1.44649,0.52219,0.30828,0.29189,0.19596,1.52735,1.95239,1.61523,0.002179,0.002179,0.002179
81,13356.9,1.17973,1.7927,1.44039,0.5294,0.31017,0.30145,0.19876,1.52633,1.94155,1.61301,0.00208,0.00208,0.00208
82,13531.5,1.18473,1.79989,1.44476,0.52411,0.31287,0.2991,0.19843,1.52024,1.92536,1.60993,0.001981,0.001981,0.001981
83,13700.8,1.18533,1.77956,1.44061,0.54431,0.30532,0.30265,0.19794,1.5203,1.91784,1.60697,0.001882,0.001882,0.001882
84,13873.3,1.1759,1.77367,1.43625,0.5546,0.30584,0.30225,0.1922,1.5216,1.91628,1.60386,0.001783,0.001783,0.001783
85,14045.3,1.1811,1.77112,1.43446,0.36938,0.31001,0.30134,0.19719,1.52303,1.91299,1.6021,0.001684,0.001684,0.001684
86,14217.9,1.17178,1.74818,1.42803,0.39553,0.30276,0.30996,0.1995,1.52441,1.91287,1.60299,0.001585,0.001585,0.001585
87,14394.8,1.1686,1.75535,1.43,0.40498,0.30155,0.31214,0.20225,1.51819,1.91064,1.59648,0.001486,0.001486,0.001486
88,14569,1.17052,1.74595,1.43031,0.3951,0.30552,0.3123,0.203,1.51894,1.90813,1.59569,0.001387,0.001387,0.001387
89,14744.3,1.15909,1.72524,1.42208,0.60041,0.29748,0.31354,0.20379,1.52449,1.90918,1.59759,0.001288,0.001288,0.001288
90,14919.8,1.16234,1.73289,1.42865,0.40194,0.30711,0.32052,0.20676,1.52562,1.90667,1.59838,0.001189,0.001189,0.001189
