epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4429.25,1.20769,1.43995,1.45007,0.52295,0.39644,0.38861,0.23161,1.47343,1.55091,1.58166,0.005842,0.005842,0.005842
44,4532.24,1.20644,1.4361,1.44849,0.51268,0.41615,0.39343,0.23592,1.4962,1.54472,1.58568,0.005743,0.005743,0.005743
45,4642.06,1.19733,1.42491,1.44084,0.55857,0.39733,0.40945,0.24789,1.49796,1.53079,1.59305,0.005644,0.005644,0.005644
46,4738.4,1.19869,1.42521,1.44166,0.5779,0.38489,0.40191,0.24032,1.50309,1.58602,1.59272,0.005545,0.005545,0.005545
47,4832.78,1.19866,1.41851,1.44134,0.51904,0.38371,0.37873,0.22706,1.49479,1.58942,1.59154,0.005446,0.005446,0.005446
48,4927.94,1.19572,1.41478,1.43718,0.54739,0.408,0.40447,0.24298,1.4736,1.55779,1.56006,0.005347,0.005347,0.005347
49,5024.34,1.18239,1.39263,1.43024,0.55194,0.40185,0.40323,0.24232,1.46923,1.51975,1.56116,0.005248,0.005248,0.005248
50,5120.07,1.19522,1.41158,1.43958,0.53885,0.40889,0.40129,0.24599,1.48734,1.5094,1.58802,0.005149,0.005149,0.005149
51,5215.46,1.18098,1.39482,1.43011,0.53883,0.40609,0.39873,0.2418,1.47967,1.50842,1.56167,0.00505,0.00505,0.00505
52,5311.82,1.18105,1.38641,1.42588,0.56122,0.40622,0.41288,0.2499,1.49076,1.47916,1.57274,0.004951,0.004951,0.004951
53,5407.56,1.18275,1.3863,1.42735,0.52391,0.42044,0.40402,0.24321,1.49988,1.50196,1.58396,0.004852,0.004852,0.004852
54,5503.62,1.17586,1.38556,1.42571,0.53672,0.41511,0.41521,0.25224,1.49395,1.48728,1.56486,0.004753,0.004753,0.004753
55,5600.4,1.16785,1.3736,1.41777,0.54865,0.42756,0.42197,0.26026,1.4547,1.47678,1.54991,0.004654,0.004654,0.004654
56,5696.99,1.16939,1.37583,1.4168,0.55312,0.40356,0.40491,0.24745,1.47174,1.48058,1.56706,0.004555,0.004555,0.004555
57,5793.84,1.17054,1.37153,1.41542,0.50837,0.43822,0.41521,0.25616,1.46918,1.48461,1.55886,0.004456,0.004456,0.004456
58,5890.74,1.16138,1.34733,1.4099,0.55277,0.424,0.418,0.26016,1.46963,1.46955,1.54785,0.004357,0.004357,0.004357
59,5988.41,1.16386,1.36028,1.41435,0.55497,0.41456,0.41062,0.25112,1.47871,1.4596,1.54485,0.004258,0.004258,0.004258
60,6086.2,1.1608,1.35265,1.41078,0.54121,0.41105,0.40417,0.24612,1.4776,1.47576,1.54472,0.004159,0.004159,0.004159
61,6184.22,1.15686,1.33877,1.40335,0.56976,0.39111,0.40722,0.25074,1.45321,1.46748,1.53378,0.00406,0.00406,0.00406
62,6281.58,1.15549,1.34258,1.40649,0.58245,0.41956,0.42946,0.26485,1.4275,1.4341,1.51945,0.003961,0.003961,0.003961
63,6379.82,1.15815,1.34612,1.40694,0.57867,0.42933,0.44152,0.2712,1.44181,1.423,1.5319,0.003862,0.003862,0.003862
64,6477.94,1.15159,1.32808,1.39892,0.56765,0.42831,0.43453,0.26703,1.46388,1.43221,1.5482,0.003763,0.003763,0.003763
65,6575.37,1.13818,1.32418,1.39731,0.57215,0.441,0.43939,0.27015,1.44944,1.43166,1.53625,0.003664,0.003664,0.003664
66,6678.08,1.13999,1.31869,1.39823,0.58561,0.41511,0.43032,0.26767,1.43883,1.43279,1.5234,0.003565,0.003565,0.003565
67,6780.52,1.14165,1.31666,1.3947,0.55517,0.41956,0.41913,0.25804,1.44937,1.46133,1.51955,0.003466,0.003466,0.003466
68,6886.31,1.14068,1.31146,1.38877,0.55653,0.416,0.41756,0.25998,1.43683,1.46122,1.51316,0.003367,0.003367,0.003367
69,6990.05,1.12959,1.30391,1.38255,0.55611,0.40889,0.4088,0.2514,1.43792,1.47221,1.52026,0.003268,0.003268,0.003268
70,7092.2,1.12969,1.29792,1.38148,0.60132,0.40178,0.41279,0.25093,1.44357,1.47133,1.51818,0.003169,0.003169,0.003169
71,7195.75,1.12554,1.29444,1.38367,0.58039,0.41333,0.42431,0.26045,1.43939,1.43579,1.51633,0.00307,0.00307,0.00307
72,7294.86,1.13043,1.28508,1.37811,0.58628,0.42222,0.42674,0.26439,1.43412,1.43283,1.51194,0.002971,0.002971,0.002971
73,7395.4,1.12074,1.28045,1.37462,0.59082,0.41457,0.42895,0.2652,1.41652,1.43036,1.49905,0.002872,0.002872,0.002872
74,7503.14,1.12374,1.28248,1.37939,0.6125,0.416,0.43768,0.27204,1.42084,1.41782,1.49986,0.002773,0.002773,0.002773
75,7611.87,1.11911,1.27983,1.37594,0.6007,0.43111,0.4349,0.26927,1.42626,1.42527,1.50883,0.002674,0.002674,0.002674
76,7718.37,1.10619,1.26774,1.36971,0.598,0.42844,0.4375,0.27093,1.42424,1.42442,1.5073,0.002575,0.002575,0.002575
77,7821.65,1.11679,1.27171,1.37789,0.61098,0.43111,0.44683,0.27417,1.4101,1.41498,1.49676,0.002476,0.002476,0.002476
78,7925.32,1.10273,1.25088,1.36424,0.61361,0.42771,0.44357,0.27283,1.41889,1.41851,1.50308,0.002377,0.002377,0.002377
79,8028.78,1.10446,1.25675,1.36582,0.63491,0.41689,0.44646,0.27501,1.42274,1.41612,1.50349,0.002278,0.002278,0.002278
80,8135.75,1.10414,1.24467,1.36141,0.61128,0.42075,0.44852,0.2769,1.42651,1.42046,1.50161,0.002179,0.002179,0.002179
81,8247.6,1.09191,1.24492,1.35531,0.60969,0.42905,0.45121,0.27802,1.4226,1.4172,1.49717,0.00208,0.00208,0.00208
82,8357.37,1.10247,1.25074,1.36542,0.61984,0.432,0.45532,0.27991,1.42955,1.4156,1.50255,0.001981,0.001981,0.001981
83,8472.95,1.10116,1.24206,1.35807,0.62523,0.43301,0.45513,0.28053,1.42994,1.40896,1.50229,0.001882,0.001882,0.001882
84,8612.5,1.09266,1.2281,1.35532,0.6353,0.42892,0.45174,0.28023,1.42965,1.40284,1.49961,0.001783,0.001783,0.001783
85,8737.83,1.09515,1.2337,1.3538,0.6299,0.42667,0.44891,0.27936,1.42468,1.39297,1.49389,0.001684,0.001684,0.001684
86,8843.82,1.08748,1.21846,1.3491,0.62542,0.42933,0.44938,0.27989,1.42393,1.39074,1.49041,0.001585,0.001585,0.001585
87,8947.24,1.08344,1.22299,1.35017,0.59974,0.44444,0.45302,0.28094,1.41765,1.3828,1.48751,0.001486,0.001486,0.001486
88,9051.35,1.08484,1.21479,1.3484,0.59397,0.44992,0.45802,0.28176,1.4167,1.37831,1.48804,0.001387,0.001387,0.001387
89,9155.13,1.07848,1.20355,1.34398,0.606,0.44889,0.45762,0.2823,1.41436,1.37103,1.48716,0.001288,0.001288,0.001288
90,9262.32,1.07566,1.20481,1.34469,0.60904,0.44356,0.45886,0.28354,1.41357,1.3705,1.48463,0.001189,0.001189,0.001189
